"Obs_year","Park_code","Obs_date_str","Species","Sci_name","Com_name","Taxon_family","Taxon_sort","Observer","Loc_description","Obs_notes","Incidental_obs_ID","DPL_code","DPL_date_str"
2020,"NOCA","6/11/2020","NAWA","Oreothlypis ruficapilla","Nashville Warbler","Fringillidae",2071,"Holmgren_Mandy","Stehekin",,4383,"A","04/27/2021 15:30"
2020,"NOCA","6/14/2020","NOFL","Colaptes auratus","Northern Flicker","Picidae",1028,"Holmgren_Mandy","Stehekin",,4338,"A","04/27/2021 15:30"
2020,"NOCA","6/26/2020","NOGO","Accipiter gentilis","Northern Goshawk","Accipitridae",836,"Lane_Fanter","Big Beaver",,4239,"A","04/27/2021 15:30"
2020,"NOCA","6/5/2020","NOPO","Glaucidium gnoma","Northern Pygmy-Owl","Strigidae",895,"Hamm_Kelsey","Cascade River Rd.",,4325,"A","04/27/2021 15:30"
2020,"NOCA","6/4/2020","NRWS","Stelgidopteryx serripennis","Northern Rough-winged Swallow","Hirundinidae",1486,"Lane_Fanter","McAllister Camp",,4357,"A","04/27/2021 15:30"
2020,"NOCA","6/18/2020","NSHO","Anas clypeata","Northern Shoveler","Anatidae",60,"Holmgren_Mandy","Stehekin",,4244,"A","04/27/2021 15:30"
2020,"NOCA","6/3/2020","OCWA","Oreothlypis celata","Orange-crowned Warbler","Fringillidae",2068,"Lane_Fanter","Newhalem",,4382,"A","04/27/2021 15:30"
2020,"NOCA","7/27/2020","OSFL","Contopus cooperi","Olive-sided Flycatcher","Tyrannidae",1346,"Lane_Fanter","Copper Lake",,4340,"A","04/27/2021 15:30"
2020,"NOCA","7/27/2020","OSPR","Pandion haliaetus","Osprey","Accipitridae",813,"Lane_Fanter","Copper Lake",,4237,"A","04/27/2021 15:30"
2020,"NOCA","6/11/2020","PAWR","Troglodytes pacificus","Pacific Wren","Certhiidae",1534,"Holmgren_Mandy","Stehekin",,4367,"A","04/27/2021 15:30"
2020,"NOCA","6/11/2020","PEFA","Falco peregrinus","Peregrine Falcon","Falconidae",1061,"Holmgren_Mandy","Stehekin",,4242,"A","04/27/2021 15:30"
2020,"NOCA","7/7/2020","PIGR","Pinicola enucleator","Pine Grosbeak","Fringillidae",1823,"Lane_Fanter","Desolation Peak",,4406,"A","04/27/2021 15:30"
2020,"NOCA","6/11/2020","PISI","Spinus pinus","Pine Siskin","Fringillidae",1845,"Holmgren_Mandy","Stehekin",,4410,"A","04/27/2021 15:30"
2020,"NOCA","6/5/2020","PIWO","Dryocopus pileatus","Pileated Woodpecker","Picidae",1037,"Lane_Fanter","Cascade River Rd.",,4339,"A","04/27/2021 15:30"
2020,"NOCA","6/3/2020","PSFL","Empidonax difficilis","Pacific-slope Flycatcher","Tyrannidae",1370,"Lane_Fanter","Newhalem",,4345,"A","04/27/2021 15:30"
2020,"NOCA","6/3/2020","PUFI","Haemorhous purpureus","Purple Finch","Fringillidae",1830,"Lane_Fanter","Newhalem",,4407,"A","04/27/2021 15:30"
2020,"NOCA","7/19/2020","RBGU","Larus delawarensis","Ring-billed Gull","Laridae",618,"Lane_Fanter","Ross Lake",,4322,"A","04/27/2021 15:30"
2020,"NOCA","6/11/2020","RBNU","Sitta canadensis","Red-breasted Nuthatch","Sittidae",1516,"Holmgren_Mandy","Stehekin",,4362,"A","04/27/2021 15:30"
2020,"NOCA","6/3/2020","RBSA","Sphyrapicus ruber","Red-breasted Sapsucker","Picidae",1006,"Lane_Fanter","Newhalem",,4333,"A","04/27/2021 15:30"
2020,"NOCA","7/7/2020","RCKI","Regulus calendula","Ruby-crowned Kinglet","Regulidae",1588,"Lane_Fanter","Desolation Peak",,4370,"A","04/27/2021 15:30"
2020,"NOCA","7/27/2020","RECR","Loxia curvirostra","Red Crossbill","Fringillidae",1839,"Lane_Fanter","Copper Lake",,4409,"A","04/27/2021 15:30"
2020,"NOCA","6/3/2020","REVI","Vireo olivaceus","Red-eyed Vireo","Vireonidae",1423,"Lane_Fanter","Newhalem",,4349,"A","04/27/2021 15:30"
2020,"NOCA","6/17/2020","RNGR","Podiceps grisegena","Red-necked Grebe","Podicipedidae",171,"Holmgren_Mandy","Stehekin",,4246,"A","04/27/2021 15:30"
2020,"NOCA","7/12/2020","ROWR","Salpinctes obsoletus","Rock Wren","Certhiidae",1521,"Hamm_Kelsey","Juanita Lake",,4364,"A","04/27/2021 15:30"
